Car_Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Price(INR)
Hyundai Xcent S 1.2,2014,98000,Petrol,Manual,340000
Hyundai i20 SPORTZ 1.2,2012,90770,Petrol,Manual,160000
Hyundai i20 ASTA 1.2,2011,140000,Petrol,Manual,165000
Hyundai i10 ASTA 1.2,2010,78520,Petrol,Manual,97000
Hyundai i20 ASTA 1.2,2011,67550,Petrol,Manual,178000
Hyundai Grand i10,2017,42880,Petrol,Auto,300000
Hyundai VENUE S+ 1.2,2021,41640,Petrol,Manual,620000
Hyundai i20 SPORTZ 1.2,2013,76420,Petrol,Manual,240000
Hyundai i10 SPORTZ 1.2,2010,100000,Petrol,Manual,102000
Hyundai i20 ASTA 1.2,2011,88620,Petrol,Manual,140000
Hyundai i20 ASTA 1.2,2013,82780,Petrol,Manual,186000
Hyundai i20 MAGNA 1.2,2013,33180,Petrol,Manual,287000
Hyundai i20 ASTA 1.2,2013,80290,Petrol,Manual,272000
Hyundai i10 SPORTZ 1.2,2010,68400,Petrol,Manual,121000
Hyundai i20 ASTA 1.4 CRDI,2012,150000,Diesel,Manual,252000
Hyundai i20 MAGNA (O) 1.2,2011,61110,Petrol,Manual,164000
Hyundai i10 SPORTZ 1.2 AT,2013,74280,Petrol,Auto,194000
Hyundai i20 MAGNA (O) 1.2,2010,23520,Petrol,Manual,133000
Hyundai i20 MAGNA (O) 1.2,2014,31720,Petrol,Manual,270000
Hyundai i20 SPORTZ 1.2,2010,48840,Petrol,Manual,128000
Hyundai Accent GLE,2011,96080,Petrol,Manual,121000
Hyundai Elite i20 SPORTZ 1.2,2015,42150,Petrol,Manual,328000
Hyundai i20 SPORTZ 1.2,2010,82000,Petrol,Manual,140000
Hyundai Elite i20 ASTA 1.2,2015,75830,Petrol,Manual,373000
Hyundai Verna FLUIDIC 1.6 VTVT EX,2012,58100,Petrol,Manual,263000
Hyundai Grand i10,2018,120000,Petrol,Manual,319000
Hyundai i10 MAGNA 1.1,2015,62660,Petrol,Manual,273000
Hyundai i10 SPORTZ 1.2 AT,2012,65209,Petrol,Auto,195000
Hyundai i10 SPORTZ 1.2,2011,46500,Petrol,Manual,162000
Hyundai Eon MAGNA +,2014,35120,Petrol,Manual,166000
Hyundai i20 SPORTZ 1.2,2013,110000,Petrol,Manual,238000
Hyundai i10 SPORTZ 1.2,2010,71010,Petrol,Manual,121000
Hyundai Verna,2010,57460,Petrol,Manual,227000
Hyundai Xcent S (O) 1.2,2015,100000,Petrol,Manual,275000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2014,98090,Petrol,Manual,285000
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,2013,88910,Petrol,Manual,219000
Hyundai i20 ASTA 1.2,2011,100000,Petrol,Manual,179000
Hyundai VENUE SX 1.0 TURBO IMT DUAL TONE SPORT,2021,52120,Petrol,Manual,625000
Hyundai i10 MAGNA 1.2,2012,41290,Petrol,Manual,137000
Hyundai GRAND I10 NIOS,2019,45370,Petrol,Manual,441000
Hyundai i20 MAGNA (O) 1.2,2011,110000,Petrol,Manual,130000
Hyundai i10 MAGNA 1.2,2012,29620,Petrol,Manual,128000
Hyundai Verna 1.6 VTVT SX O,2018,47860,Petrol,Manual,595000
Hyundai i20 MAGNA 1.2,2011,50250,Petrol,Manual,156000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2013,110000,Petrol,Manual,267000
Hyundai i10 SPORTZ 1.2,2012,160000,Petrol,Manual,167000
Hyundai Grand i10,2018,100000,Petrol,Manual,343000
Hyundai i10 MAGNA 1.1,2010,23000,Petrol,Manual,98000
Hyundai i20 SPORTZ 1.4 CRDI,2011,76150,Diesel,Manual,165000
Hyundai Xcent SX 1.2 (O),2014,81880,Petrol,Manual,277000
Hyundai Creta SX PLUS 1.6 PETROL,2016,83140,Petrol,Manual,600000
Hyundai i10 MAGNA 1.2,2010,99850,Petrol,Manual,92000
Hyundai i20 ASTA 1.2,2010,98050,Petrol,Manual,127000
Hyundai Verna FLUIDIC 1.6 VTVT,2011,51830,Petrol,Manual,215000
Hyundai i20 MAGNA (O) 1.2,2011,30320,Petrol,Manual,155000
Hyundai i10 SPORTZ 1.2,2010,4120,Petrol,Manual,108000
Hyundai i10 MAGNA 1.2,2012,56980,Petrol,Manual,150000
Hyundai Grand i10,2017,160000,Petrol,Auto,300000
Hyundai Creta SX PLUS AT 1.6 DIESEL,2016,90960,Diesel,Auto,915000
Hyundai Verna FLUIDIC 1.6 CRDI SX,2011,140000,Diesel,Manual,231000
Hyundai Xcent S 1.2,2014,120000,Petrol,Manual,317000
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,2014,65000,Petrol,Auto,303000
Hyundai Xcent S 1.2,2016,48200,Petrol,Manual,349000
Hyundai i10 ERA 1.1,2011,66960,Petrol,Manual,113999
Hyundai i20 SPORTZ 1.2,2014,68540,Petrol,Manual,256999
Hyundai i10 SPORTZ 1.1,2016,76530,Petrol,Manual,213000
Hyundai i20 SPORTZ 1.4 CRDI,2010,95380,Diesel,Manual,200000
Hyundai Eon ERA +,2014,29200,Petrol,Manual,193000
Hyundai Santro Xing GL PLUS (CNG),2012,86860,Petrol,Manual,123000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2014,29120,Petrol,Manual,340000
Hyundai i20 ASTA 1.2,2013,51010,Petrol,Manual,293000
Hyundai i10 SPORTZ 1.2 AT,2011,70830,Petrol,Auto,129000
Hyundai i10 ASTA 1.2 AT SUNROOF,2010,63020,Petrol,Auto,167000
Hyundai Verna 1.6 CRDI SX + AT,2018,88640,Diesel,Auto,771000
Hyundai i20 ASTA 1.4 AT,2012,40430,Petrol,Auto,269000
Hyundai i20 ASTA 1.2,2010,100000,Petrol,Manual,92000
Hyundai Eon ERA +,2014,17370,Petrol,Manual,219000
Hyundai Verna FLUIDIC 1.6 VTVT EX,2013,90690,Petrol,Manual,338000
Hyundai Creta SX PLUS 1.6 PETROL,2016,44500,Petrol,Manual,652000
Hyundai i10 SPORTZ 1.2,2010,78720,Petrol,Manual,118000
Hyundai Xcent SX 1.2 (O),2015,71070,Petrol,Manual,362000
Hyundai New Elantra 1.8 SX MT VTVT,2013,40590,Petrol,Manual,337000
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,2015,79750,Petrol,Manual,290000
Hyundai Verna FLUIDIC 1.6 VTVT SX,2013,74000,Petrol,Manual,293000
Hyundai Elite i20 SPORTZ 1.2,2015,79260,Petrol,Manual,342000
Hyundai Grand i10,2016,110000,Petrol,Manual,309000
Hyundai Elite i20 MAGNA PLUS 1.2,2019,35320,Petrol,Manual,500000
Hyundai Creta SX PLUS 1.6 PETROL,2017,59230,Petrol,Manual,787000
Hyundai Eon ERA +,2015,75900,Petrol,Manual,229999
Hyundai i10 SPORTZ 1.2,2010,86660,Petrol,Manual,89000
Hyundai Verna FLUIDIC 1.6 VTVT SX OPT AT,2013,70300,Petrol,Auto,300000
Hyundai Creta SX PLUS 1.6 PETROL,2016,82240,Petrol,Manual,700000
Hyundai Xcent S (O) 1.2,2015,71120,Petrol,Manual,312000
Hyundai Grand i10,2016,76230,Petrol,Manual,278000
Hyundai Eon SPORTZ,2014,28240,Petrol,Manual,180000
Hyundai NEW SANTRO,2019,36710,Petrol,Manual,325000
Hyundai Creta SX 1.5 PETROL,2020,66730,Petrol,Manual,900000
Hyundai Creta E PLUS 1.6 PETROL,2017,46670,Petrol,Manual,595000
Hyundai Xcent S 1.2,2014,48900,Petrol,Manual,301000
Hyundai Verna FLUIDIC 4S 1.6 VTVT S,2016,43030,Petrol,Manual,450000
Hyundai i10 MAGNA 1.2,2011,28130,Petrol,Manual,132000
Hyundai Verna 1.6 CRDI SX,2018,72580,Diesel,Manual,722000
Hyundai Xcent S 1.2,2014,110000,Petrol,Manual,298000
Hyundai NEW SANTRO,2018,25460,Petrol,Manual,314000
Hyundai Verna FLUIDIC 1.6 EX CRDI AT,2013,110000,Diesel,Auto,347000
Hyundai Grand i10,2013,54870,Petrol,Manual,277000
Hyundai Xcent SX 1.2,2015,36030,Petrol,Manual,361000
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,2023,12780,Petrol,Auto,800000
Hyundai Xcent S (O) 1.2,2015,75160,Petrol,Manual,337000
Hyundai GRAND I10 NIOS,2020,18610,Petrol,Auto,581000
Hyundai Creta SX PLUS 1.6 PETROL,2016,79400,Petrol,Manual,550000
Hyundai Verna FLUIDIC 1.6 VTVT SX AT,2013,27580,Petrol,Auto,315000
Hyundai Verna FLUIDIC 1.6 VTVT EX,2012,7900,Petrol,Manual,249000
Hyundai Verna 1.6 VTVT SX O,2019,58880,Petrol,Manual,700000
Hyundai i20 ASTA 1.2,2010,100000,Petrol,Manual,139000
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,2014,52730,Petrol,Auto,333000
Hyundai Verna FLUIDIC 1.6 VTVT SX OPT,2014,78280,Petrol,Manual,367000
Hyundai Xcent S 1.1 CRDI,2014,61480,Diesel,Manual,328000
Hyundai AURA SX 1.2 CNG,2024,18620,Petrol,Manual,868000
Hyundai Elite i20 MAGNA 1.2,2014,93380,Petrol,Manual,291000
Hyundai Xcent S (O) 1.2,2015,21120,Petrol,Manual,372000
Hyundai Elite i20 ASTA 1.4 CRDI,2015,150000,Diesel,Manual,424000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2016,27390,Petrol,Manual,346000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2015,12110,Petrol,Manual,348000
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,2022,14900,Petrol,Auto,750000
Hyundai Verna 1.6 VTVT SX O,2018,72480,Petrol,Manual,580000
Hyundai AURA S 1.2 CNG,2021,20610,Petrol,Manual,637000
Hyundai Xcent S 1.1 CRDI,2015,82710,Diesel,Manual,364000
Hyundai Verna FLUIDIC 1.6 CRDI SX AT,2014,78850,Diesel,Auto,390000
Hyundai Xcent SX AT 1.2 (O),2015,310000,Petrol,Auto,320000
Hyundai Verna FLUIDIC 1.6 CRDI SX,2012,110000,Diesel,Manual,284000
Hyundai i20 ASTA 1.2,2014,68810,Petrol,Manual,319000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2015,35790,Petrol,Manual,327000
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,2014,41050,Petrol,Auto,340000
Hyundai VENUE S 1.2,2023,17450,Petrol,Manual,750000
Hyundai Elite i20 SPORTZ 1.2,2017,67430,Petrol,Manual,447000
Hyundai Creta SX PLUS 1.6 PETROL,2018,75610,Petrol,Manual,675000
Hyundai VENUE S 1.2,2024,1510,Petrol,Manual,900000
Hyundai Verna 1.6 VTVT SX (O) AT,2018,49500,Petrol,Auto,725000
Hyundai Elite i20 ASTA 1.4 CRDI,2015,74450,Diesel,Manual,453000
Hyundai i20 Active 1.2 S,2015,39670,Petrol,Manual,543000
Hyundai Xcent E+,2018,56610,Petrol,Manual,399000
Hyundai Elite i20 SPORTZ 1.2,2015,53350,Petrol,Manual,390000
Hyundai i20 Active 1.2 S,2016,73700,Petrol,Manual,425000
Hyundai Xcent SX 1.2,2016,110000,Petrol,Manual,310000
Hyundai Creta SX PLUS AT 1.6 PETROL,2017,94620,Petrol,Auto,650000
Hyundai Elite i20 ASTA 1.2 DUAL TONE,2017,58200,Petrol,Manual,465000
Hyundai NEW I20,2021,18000,Petrol,Auto,663000
Hyundai Creta E 1.5 PETROL,2024,5400,Petrol,Manual,1177000
Hyundai AURA S 1.2 CNG,2021,73240,Petrol,Manual,576000
Hyundai Grand i10,2016,11010,Petrol,Manual,361000
Hyundai Creta SX PLUS AT 1.6 DIESEL,2016,150000,Diesel,Auto,823000
Hyundai Creta SX PLUS AT 1.6 PETROL,2016,42920,Petrol,Auto,878999
Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,2016,100000,Petrol,Auto,350000
Hyundai Elite i20 SPORTZ PLUS 1.2,2019,18980,Petrol,Manual,575000
Hyundai GRAND I10 NIOS,2022,31760,Petrol,Manual,550000
Hyundai Grand i10,2016,56000,Petrol,Manual,303000
Hyundai Elite i20 MAGNA PLUS 1.2,2019,23440,Petrol,Manual,474000
Hyundai NEW SANTRO,2019,110000,Petrol,Manual,360000
Hyundai Elite i20 SPORTZ 1.2,2015,100000,Petrol,Manual,399000
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,2016,57170,Petrol,Auto,342000
Hyundai GRAND I10 NIOS,2022,21090,Petrol,Manual,550000
Hyundai Elite i20 MAGNA 1.2,2015,120000,Petrol,Manual,352000
Hyundai NEW SANTRO,2021,44490,Petrol,Manual,475000
Hyundai Creta SX PLUS 1.6 DIESEL,2015,100000,Diesel,Manual,725000
Hyundai EXTER S 1.2 AMT,2023,13330,Petrol,Auto,699000
Hyundai Grand i10,2017,19810,Petrol,Manual,371000
Hyundai Creta S 1.4 DIESEL,2016,100000,Diesel,Manual,630000
Hyundai New Elantra 1.8 SX MT VTVT,2012,140000,Petrol,Manual,267000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2018,6450,Petrol,Manual,412000
Hyundai i20 SPORTZ 1.4 CRDI,2013,130000,Diesel,Manual,315000
Hyundai Elite i20 MAGNA 1.2,2015,160000,Petrol,Manual,342000
Hyundai AURA SX 1.2 CNG,2024,28000,Petrol,Manual,866000
Hyundai Creta BASE 1.6 PETROL,2016,29000,Petrol,Manual,614000
Hyundai Grand i10,2017,28680,Petrol,Auto,409000
Hyundai Grand i10,2016,44780,Petrol,Manual,347000
Hyundai Verna 1.5 TURBO GDI MT SX,2023,18150,Petrol,Manual,1150000
Hyundai Grand i10,2015,51550,Petrol,Manual,375000
Hyundai NEW SANTRO,2021,17390,Petrol,Manual,565000
Hyundai Creta SX (O) IVT 1.5 PETROL,2023,20380,Petrol,Auto,1695000
Hyundai New Elantra 2.0 SX(O) AT PETROL,2017,70890,Petrol,Auto,700000
Hyundai Creta S 1.6 PETROL,2015,88480,Petrol,Manual,575000
Hyundai Elite i20 MAGNA PLUS 1.2,2019,23620,Petrol,Manual,509999
Hyundai Elite i20 SPORTZ 1.2,2016,63950,Petrol,Manual,387000
Hyundai Grand i10,2019,20580,Petrol,Manual,395000
Hyundai GRAND I10 NIOS,2020,39990,Petrol,Manual,484999
Hyundai Creta SX PLUS 1.6 PETROL,2017,40560,Petrol,Manual,700000
Hyundai Creta SX PLUS 1.6 PETROL,2015,32049,Petrol,Manual,600000
Hyundai AURA S 1.2 CNG,2024,8900,Petrol,Manual,791000
Hyundai Creta SX PLUS 1.6 PETROL,2015,51390,Petrol,Manual,646000
Hyundai Creta SX PLUS AT 1.6 PETROL,2016,16940,Petrol,Auto,750000
Hyundai AURA SX 1.2 CNG,2024,27000,Petrol,Manual,810000
Hyundai Eon MAGNA +,2015,28490,Petrol,Manual,249000
Hyundai Creta SX PLUS 1.6 PETROL,2015,68660,Petrol,Manual,600000
Hyundai NEW SANTRO,2020,110000,Petrol,Manual,350000
Hyundai Verna FLUIDIC 1.6 CRDI SX OPT AT,2013,170000,Diesel,Auto,365000
Hyundai Grand i10,2017,66320,Petrol,Auto,476000
Hyundai Elite i20 SPORTZ 1.2,2017,58970,Petrol,Manual,474000
Hyundai GRAND I10 NIOS,2023,40730,Petrol,Manual,620000
Hyundai GRAND I10 NIOS,2020,25870,Petrol,Manual,576000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2017,35100,Petrol,Manual,360000
Hyundai Xcent BASE 1.1,2017,160000,Diesel,Manual,352000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2020,36440,Petrol,Auto,759000
Hyundai NEW SANTRO,2018,70060,Petrol,Manual,328000
Hyundai GRAND I10 NIOS,2023,67420,Petrol,Manual,694000
Hyundai Creta SX PLUS AT 1.6 PETROL,2017,32250,Petrol,Auto,750000
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,2018,37330,Petrol,Manual,430999
Hyundai NEW SANTRO,2018,66370,Petrol,Manual,353000
Hyundai GRAND I10 NIOS,2021,65640,Petrol,Manual,550000
Hyundai Xcent S 1.2,2017,100000,Petrol,Manual,336000
Hyundai GRAND I10 NIOS,2021,73700,Petrol,Manual,530000
Hyundai Verna SX 1.5 l MPI,2024,6970,Petrol,Manual,1100000
Hyundai Creta N Line,2024,1450000,Petrol,Manual,1400000
Hyundai Creta  SX 1.6 Petrol,2016,68190,Petrol,Manual,622000
Hyundai Creta SX 1.6 DIESEL,2015,110000,Diesel,Manual,709000
Hyundai GRAND I10 NIOS,2020,43770,Petrol,Manual,450000
Hyundai VENUE SX PLUS 1.0 TURBO DCT,2019,11280,Petrol,Auto,822000
Hyundai NEW SANTRO,2019,67920,Petrol,Manual,369000
Hyundai NEW I20 ASTA 1.2 AT,2021,34230,Petrol,Auto,785000
Hyundai NEW SANTRO,2019,67130,Petrol,Manual,360000
Hyundai Verna SX (O)1.5 MPi,2022,39490,Petrol,Manual,858000
Hyundai Creta SX PLUS 1.6 PETROL,2015,100000,Petrol,Manual,550000
Hyundai Xcent S 1.2,2017,67440,Petrol,Manual,337000
Hyundai VENUE SX 1.5 CRDI,2022,67900,Diesel,Manual,968000
Hyundai Xcent S AT 1.2,2017,59560,Petrol,Auto,381000
Hyundai Creta SX PLUS AT 1.6 DIESEL,2015,87460,Diesel,Auto,750000
Hyundai GRAND I10 NIOS,2022,33360,Petrol,Manual,611000
Hyundai New Elantra 1.8 SX MT VTVT,2013,160000,Petrol,Manual,304000
Hyundai AURA SX 1.2 CNG,2023,31120,Petrol,Manual,758000
Hyundai Creta SX AT 1.6 PETROL,2019,110000,Petrol,Auto,950000
Hyundai Creta S PLUS 1.4 DIESEL,2018,82870,Diesel,Manual,813000
Hyundai Creta SX (O) IVT 1.5 PETROL,2021,60820,Petrol,Auto,1529000
Hyundai Creta S 1.6 PETROL,2015,48650,Petrol,Manual,551000
Hyundai Creta SX PLUS AT 1.6 PETROL,2017,29230,Petrol,Auto,825000
Hyundai VENUE SX (O) 1.5 CRDI,2019,100000,Diesel,Manual,896000
Hyundai Creta SX PLUS AT 1.6 DIESEL,2016,140000,Diesel,Auto,700000
Hyundai VENUE S 1.2,2020,52020,Petrol,Manual,645000
